drug_name,side_effect
dapagliflozin,stomach pain
dapagliflozin,headache
dapagliflozin,swelling
canagliflozin,allergic reaction
canagliflozin,nausea
canagliflozin,low blood sugar
canagliflozin,insomnia
canagliflozin,dizziness
canagliflozin,fatigue
canagliflozin,weight gain
canagliflozin,stomach pain
ertugliflozin,confusion
ertugliflozin,joint pain
ertugliflozin,shortness of breath
ertugliflozin,dizziness
ertugliflozin,muscle pain
ertugliflozin,bruising
ertugliflozin,sweating
ertugliflozin,cough
insulin,constipation
insulin,low blood pressure
insulin,blurred vision
insulin,high blood sugar
insulin,rash
insulin,high blood pressure
insulin,weight loss
insulin,dry mouth
liraglutide,blurred vision
liraglutide,constipation
liraglutide,rash
liraglutide,stomach pain
liraglutide,heartburn
liraglutide,allergic reaction
liraglutide,abdominal pain
liraglutide,weight gain
semaglutide,swelling
semaglutide,constipation
semaglutide,heartburn
semaglutide,nausea
semaglutide,palpitations
semaglutide,stomach pain
semaglutide,tremors
semaglutide,weight gain
dulaglutide,joint pain
dulaglutide,vomiting
dulaglutide,stomach pain
dulaglutide,itching
dulaglutide,cough
dulaglutide,rash
dulaglutide,high blood sugar
dulaglutide,shortness of breath
exenatide,sweating
exenatide,muscle pain
exenatide,joint pain
exenatide,high blood pressure
exenatide,constipation
exenatide,low blood sugar
exenatide,bruising
exenatide,dry mouth
acarbose,low blood pressure
acarbose,high blood pressure
acarbose,weight gain
acarbose,cough
acarbose,diarrhea
acarbose,stomach pain
acarbose,constipation
acarbose,joint pain
pioglitazone,swelling
pioglitazone,sweating
pioglitazone,high blood pressure
pioglitazone,drowsiness
pioglitazone,weight gain
pioglitazone,nausea
pioglitazone,heartburn
pioglitazone,high blood sugar
rosiglitazone,joint pain
rosiglitazone,fatigue
rosiglitazone,vomiting
rosiglitazone,cough
rosiglitazone,shortness of breath
rosiglitazone,bruising
rosiglitazone,diarrhea
rosiglitazone,muscle pain
repaglinide,sweating
repaglinide,weight gain
repaglinide,joint pain
repaglinide,drowsiness
repaglinide,insomnia
repaglinide,weakness
repaglinide,headache
repaglinide,tremors
nateglinide,weight loss
nateglinide,high blood sugar
nateglinide,swelling
nateglinide,allergic reaction
nateglinide,cough
nateglinide,blurred vision
nateglinide,low blood pressure
nateglinide,weakness
lisinopril,rash
lisinopril,dry mouth
lisinopril,blurred vision
lisinopril,allergic reaction
lisinopril,heartburn
lisinopril,sweating
lisinopril,weight gain
lisinopril,insomnia
enalapril,vomiting
enalapril,weight loss
enalapril,tremors
enalapril,high blood pressure
enalapril,dizziness
enalapril,heartburn
enalapril,muscle pain
enalapril,cough
ramipril,muscle pain
ramipril,bleeding
ramipril,weight loss
ramipril,joint pain
ramipril,diarrhea
ramipril,headache
ramipril,constipation
ramipril,low blood pressure
captopril,high blood pressure
captopril,rash
captopril,swelling
captopril,itching
captopril,dry mouth
captopril,cough
captopril,bleeding
captopril,low blood pressure
benazepril,nausea
benazepril,high blood pressure
benazepril,muscle pain
benazepril,abdominal pain
benazepril,confusion
benazepril,swelling
benazepril,constipation
benazepril,rash
quinapril,rash
quinapril,high blood pressure
quinapril,insomnia
quinapril,bruising
quinapril,blurred vision
quinapril,shortness of breath
quinapril,drowsiness
quinapril,diarrhea
perindopril,blurred vision
perindopril,low blood pressure
perindopril,weight loss
perindopril,abdominal pain
perindopril,joint pain
perindopril,low blood sugar
perindopril,weight gain
perindopril,stomach pain
fosinopril,vomiting
fosinopril,fatigue
fosinopril,low blood pressure
fosinopril,weight gain
fosinopril,cough
fosinopril,confusion
fosinopril,high blood pressure
fosinopril,dry mouth
trandolapril,muscle pain
trandolapril,fatigue
trandolapril,dizziness
trandolapril,vomiting
trandolapril,nausea
trandolapril,blurred vision
trandolapril,joint pain
trandolapril,shortness of breath
moexipril,heartburn
moexipril,weight gain
moexipril,dizziness
moexipril,bruising
moexipril,low blood sugar
moexipril,weight loss
moexipril,confusion
moexipril,high blood pressure
losartan,itching
losartan,vomiting
losartan,sweating
losartan,weight loss
losartan,fatigue
losartan,high blood sugar
losartan,headache
losartan,weakness
valsartan,shortness of breath
valsartan,sweating
valsartan,confusion
valsartan,dizziness
valsartan,vomiting
valsartan,low blood pressure
valsartan,joint pain
valsartan,insomnia
irbesartan,low blood pressure
irbesartan,weight gain
irbesartan,confusion
irbesartan,dizziness
irbesartan,tremors
irbesartan,stomach pain
irbesartan,sweating
irbesartan,bleeding
telmisartan,vomiting
telmisartan,bleeding
telmisartan,insomnia
telmisartan,nausea
telmisartan,weakness
telmisartan,blurred vision
telmisartan,stomach pain
telmisartan,abdominal pain
olmesartan,fatigue
olmesartan,high blood pressure
olmesartan,headache
olmesartan,constipation
olmesartan,drowsiness
olmesartan,swelling
olmesartan,sweating
olmesartan,bleeding
candesartan,high blood pressure
candesartan,heartburn
candesartan,constipation
candesartan,dry mouth
candesartan,weight gain
candesartan,dizziness
candesartan,vomiting
candesartan,weakness
azilsartan,heartburn
azilsartan,high blood sugar
azilsartan,bleeding
azilsartan,vomiting
azilsartan,weakness
azilsartan,weight gain
azilsartan,diarrhea
azilsartan,allergic reaction
hydralazine,shortness of breath
hydralazine,high blood sugar
hydralazine,weight gain
hydralazine,rash
hydralazine,muscle pain
hydralazine,dizziness
hydralazine,allergic reaction
hydralazine,sweating
isosorbide mononitrate,weight loss
isosorbide mononitrate,high blood pressure
isosorbide mononitrate,high blood sugar
isosorbide mononitrate,dry mouth
isosorbide mononitrate,muscle pain
isosorbide mononitrate,sweating
isosorbide mononitrate,bleeding
isosorbide mononitrate,dizziness
isosorbide dinitrate,rash
isosorbide dinitrate,bleeding
isosorbide dinitrate,dizziness
isosorbide dinitrate,confusion
isosorbide dinitrate,constipation
isosorbide dinitrate,weight loss
isosorbide dinitrate,allergic reaction
isosorbide dinitrate,drowsiness
amlodipine,stomach pain
amlodipine,dry mouth
amlodipine,bruising
amlodipine,weight loss
amlodipine,heartburn
amlodipine,swelling
amlodipine,fatigue
amlodipine,blurred vision
nifedipine,headache
nifedipine,fatigue
nifedipine,joint pain
nifedipine,weight gain
nifedipine,dizziness
nifedipine,bleeding
nifedipine,stomach pain
nifedipine,allergic reaction
felodipine,allergic reaction
felodipine,heartburn
felodipine,blurred vision
felodipine,low blood sugar
felodipine,abdominal pain
felodipine,swelling
felodipine,confusion
felodipine,headache
verapamil,drowsiness
verapamil,bruising
verapamil,high blood sugar
verapamil,blurred vision
verapamil,weight loss
verapamil,itching
verapamil,heartburn
verapamil,insomnia
diltiazem,shortness of breath
diltiazem,abdominal pain
diltiazem,joint pain
diltiazem,vomiting
diltiazem,drowsiness
diltiazem,tremors
diltiazem,allergic reaction
diltiazem,bleeding
nicardipine,vomiting
nicardipine,weakness
nicardipine,swelling
nicardipine,palpitations
nicardipine,sweating
nicardipine,diarrhea
nicardipine,constipation
nicardipine,blurred vision
isradipine,allergic reaction
isradipine,heartburn
isradipine,abdominal pain
isradipine,sweating
isradipine,dizziness
isradipine,vomiting
isradipine,bleeding
isradipine,weakness
clonidine,insomnia
clonidine,tremors
clonidine,dizziness
clonidine,bruising
clonidine,low blood sugar
clonidine,low blood pressure
clonidine,swelling
clonidine,confusion
methyldopa,sweating
methyldopa,blurred vision
methyldopa,fatigue
methyldopa,low blood sugar
methyldopa,muscle pain
methyldopa,drowsiness
methyldopa,diarrhea
methyldopa,dizziness
minoxidil,constipation
minoxidil,insomnia
minoxidil,bruising
minoxidil,stomach pain
minoxidil,dizziness
minoxidil,nausea
minoxidil,shortness of breath
minoxidil,diarrhea
metoprolol,sweating
metoprolol,abdominal pain
metoprolol,allergic reaction
metoprolol,stomach pain
metoprolol,dizziness
metoprolol,bruising
metoprolol,constipation
metoprolol,high blood sugar
atenolol,nausea
atenolol,swelling
atenolol,confusion
atenolol,tremors
atenolol,cough
atenolol,stomach pain
atenolol,vomiting
atenolol,sweating
propranolol,dry mouth
propranolol,headache
propranolol,drowsiness
propranolol,sweating
propranolol,vomiting
propranolol,abdominal pain
propranolol,heartburn
propranolol,fatigue
bisoprolol,cough
bisoprolol,weight gain
bisoprolol,itching
bisoprolol,palpitations
bisoprolol,allergic reaction
bisoprolol,sweating
bisoprolol,swelling
bisoprolol,abdominal pain
carvedilol,tremors
carvedilol,muscle pain
carvedilol,vomiting
carvedilol,sweating
carvedilol,high blood sugar
carvedilol,nausea
carvedilol,low blood pressure
carvedilol,joint pain
nebivolol,high blood sugar
nebivolol,rash
nebivolol,weight loss
nebivolol,high blood pressure
nebivolol,headache
nebivolol,low blood pressure
nebivolol,allergic reaction
nebivolol,constipation
nadolol,bruising
nadolol,low blood sugar
nadolol,blurred vision
nadolol,cough
nadolol,muscle pain
nadolol,heartburn
nadolol,headache
nadolol,drowsiness
sotalol,rash
sotalol,dizziness
sotalol,blurred vision
sotalol,muscle pain
sotalol,vomiting
sotalol,confusion
sotalol,stomach pain
sotalol,nausea
timolol,stomach pain
timolol,sweating
timolol,bruising
timolol,drowsiness
timolol,vomiting
timolol,diarrhea
timolol,swelling
timolol,confusion
esmolol,weakness
esmolol,high blood sugar
esmolol,palpitations
esmolol,dry mouth
esmolol,muscle pain
esmolol,fatigue
esmolol,vomiting
esmolol,allergic reaction
hydrochlorothiazide,insomnia
hydrochlorothiazide,drowsiness
hydrochlorothiazide,tremors
hydrochlorothiazide,bleeding
hydrochlorothiazide,nausea
hydrochlorothiazide,dizziness
hydrochlorothiazide,weight loss
hydrochlorothiazide,weight gain
chlorthalidone,shortness of breath
chlorthalidone,dry mouth
chlorthalidone,diarrhea
chlorthalidone,cough
chlorthalidone,heartburn
chlorthalidone,insomnia
chlorthalidone,abdominal pain
chlorthalidone,nausea
indapamide,swelling
indapamide,weakness
indapamide,abdominal pain
indapamide,high blood pressure
indapamide,dizziness
indapamide,sweating
indapamide,shortness of breath
indapamide,heartburn
furosemide,dry mouth
furosemide,high blood sugar
furosemide,nausea
furosemide,abdominal pain
furosemide,dizziness
furosemide,confusion
furosemide,diarrhea
furosemide,stomach pain
bumetanide,blurred vision
bumetanide,diarrhea
bumetanide,weight loss
bumetanide,vomiting
bumetanide,fatigue
bumetanide,high blood pressure
bumetanide,shortness of breath
bumetanide,headache
torsemide,abdominal pain
torsemide,weight gain
torsemide,fatigue
torsemide,weakness
torsemide,low blood sugar
torsemide,drowsiness
torsemide,joint pain
torsemide,dry mouth
spironolactone,fatigue
spironolactone,palpitations
spironolactone,weight loss
spironolactone,diarrhea
spironolactone,confusion
spironolactone,high blood pressure
spironolactone,muscle pain
spironolactone,sweating
eplerenone,bruising
eplerenone,high blood sugar
eplerenone,dizziness
eplerenone,vomiting
eplerenone,confusion
eplerenone,swelling
eplerenone,palpitations
eplerenone,blurred vision
amiloride,allergic reaction
amiloride,abdominal pain
amiloride,vomiting
amiloride,diarrhea
amiloride,stomach pain
amiloride,shortness of breath
amiloride,insomnia
amiloride,constipation
triamterene,weakness
triamterene,bleeding
triamterene,constipation
triamterene,vomiting
triamterene,shortness of breath
triamterene,tremors
triamterene,swelling
triamterene,headache
simvastatin,low blood sugar
simvastatin,sweating
simvastatin,nausea
simvastatin,low blood pressure
simvastatin,blurred vision
simvastatin,diarrhea
simvastatin,joint pain
simvastatin,weight gain
atorvastatin,weight loss
atorvastatin,abdominal pain
atorvastatin,stomach pain
atorvastatin,high blood pressure
atorvastatin,dizziness
atorvastatin,blurred vision
atorvastatin,diarrhea
atorvastatin,bruising
rosuvastatin,sweating
rosuvastatin,dry mouth
rosuvastatin,itching
rosuvastatin,allergic reaction
rosuvastatin,joint pain
rosuvastatin,shortness of breath
rosuvastatin,low blood sugar
rosuvastatin,weight gain
pravastatin,weakness
pravastatin,stomach pain
pravastatin,high blood pressure
pravastatin,palpitations
pravastatin,weight loss
pravastatin,vomiting
pravastatin,cough
pravastatin,shortness of breath
lovastatin,rash
lovastatin,stomach pain
lovastatin,fatigue
lovastatin,swelling
lovastatin,dizziness
lovastatin,shortness of breath
lovastatin,joint pain
lovastatin,muscle pain
fluvastatin,cough
fluvastatin,dizziness
fluvastatin,nausea
fluvastatin,high blood pressure
fluvastatin,vomiting
fluvastatin,dry mouth
fluvastatin,weight gain
fluvastatin,swelling
pitavastatin,heartburn
pitavastatin,itching
pitavastatin,low blood sugar
pitavastatin,palpitations
pitavastatin,muscle pain
pitavastatin,sweating
pitavastatin,fatigue
pitavastatin,allergic reaction
ezetimibe,low blood pressure
ezetimibe,weight loss
ezetimibe,headache
ezetimibe,rash
ezetimibe,fatigue
ezetimibe,diarrhea
ezetimibe,dry mouth
ezetimibe,nausea
fenofibrate,palpitations
fenofibrate,low blood pressure
fenofibrate,stomach pain
fenofibrate,bleeding
fenofibrate,dizziness
fenofibrate,rash
fenofibrate,heartburn
fenofibrate,low blood sugar
gemfibrozil,stomach pain
gemfibrozil,abdominal pain
gemfibrozil,fatigue
gemfibrozil,sweating
gemfibrozil,high blood pressure
gemfibrozil,insomnia
gemfibrozil,weight loss
gemfibrozil,cough
warfarin,high blood sugar
warfarin,tremors
warfarin,headache
warfarin,joint pain
warfarin,weight loss
warfarin,dry mouth
warfarin,bleeding
warfarin,low blood pressure
heparin,blurred vision
heparin,vomiting
heparin,drowsiness
heparin,nausea
heparin,high blood pressure
heparin,dry mouth
heparin,swelling
heparin,allergic reaction
enoxaparin,blurred vision
enoxaparin,cough
enoxaparin,fatigue
enoxaparin,confusion
enoxaparin,insomnia
enoxaparin,rash
enoxaparin,drowsiness
enoxaparin,constipation
dalteparin,swelling
dalteparin,nausea
dalteparin,shortness of breath
dalteparin,weight loss
dalteparin,confusion
dalteparin,rash
dalteparin,constipation
dalteparin,heartburn
fondaparinux,nausea
fondaparinux,palpitations
fondaparinux,sweating
fondaparinux,joint pain
fondaparinux,diarrhea
fondaparinux,rash
fondaparinux,low blood pressure
fondaparinux,bruising
apixaban,stomach pain
apixaban,joint pain
apixaban,bruising
apixaban,tremors
apixaban,high blood sugar
apixaban,vomiting
apixaban,dizziness
apixaban,constipation
rivaroxaban,constipation
rivaroxaban,palpitations
rivaroxaban,fatigue
rivaroxaban,dry mouth
rivaroxaban,dizziness
rivaroxaban,itching
rivaroxaban,sweating
rivaroxaban,drowsiness
dabigatran,rash
dabigatran,joint pain
dabigatran,bruising
dabigatran,vomiting
dabigatran,blurred vision
dabigatran,weakness
dabigatran,shortness of breath
dabigatran,weight loss
edoxaban,itching
edoxaban,abdominal pain
edoxaban,constipation
edoxaban,confusion
edoxaban,allergic reaction
edoxaban,cough
edoxaban,weakness
edoxaban,stomach pain
clopidogrel,palpitations
clopidogrel,low blood sugar
clopidogrel,constipation
clopidogrel,dizziness
clopidogrel,abdominal pain
clopidogrel,dry mouth
clopidogrel,itching
clopidogrel,drowsiness
ticagrelor,palpitations
ticagrelor,cough
ticagrelor,sweating
ticagrelor,high blood sugar
ticagrelor,rash
ticagrelor,shortness of breath
ticagrelor,headache
ticagrelor,fatigue
prasugrel,high blood pressure
prasugrel,blurred vision
prasugrel,headache
prasugrel,drowsiness
prasugrel,shortness of breath
prasugrel,abdominal pain
prasugrel,diarrhea
prasugrel,heartburn
dipyridamole,high blood sugar
dipyridamole,low blood sugar
dipyridamole,allergic reaction
dipyridamole,bleeding
dipyridamole,low blood pressure
dipyridamole,drowsiness
dipyridamole,weakness
dipyridamole,weight loss
cilostazol,bruising
cilostazol,dizziness
cilostazol,rash
cilostazol,dry mouth
cilostazol,diarrhea
cilostazol,abdominal pain
cilostazol,drowsiness
cilostazol,tremors
nitroglycerin,abdominal pain
nitroglycerin,shortness of breath
nitroglycerin,dry mouth
nitroglycerin,joint pain
nitroglycerin,dizziness
nitroglycerin,blurred vision
nitroglycerin,palpitations
nitroglycerin,heartburn
ranolazine,vomiting
ranolazine,confusion
ranolazine,weakness
ranolazine,weight gain
ranolazine,joint pain
ranolazine,sweating
ranolazine,heartburn
ranolazine,rash
ivabradine,tremors
ivabradine,swelling
ivabradine,constipation
ivabradine,low blood sugar
ivabradine,dizziness
ivabradine,palpitations
ivabradine,insomnia
ivabradine,stomach pain
digoxin,high blood sugar
digoxin,weight gain
digoxin,itching
digoxin,abdominal pain
digoxin,dizziness
digoxin,bleeding
digoxin,headache
digoxin,rash
amiodarone,blurred vision
amiodarone,bleeding
amiodarone,bruising
amiodarone,cough
amiodarone,high blood sugar
amiodarone,confusion
amiodarone,high blood pressure
amiodarone,nausea
flecainide,dizziness
flecainide,diarrhea
flecainide,bruising
flecainide,high blood pressure
flecainide,low blood sugar
flecainide,palpitations
flecainide,dry mouth
flecainide,nausea
propafenone,stomach pain
propafenone,blurred vision
propafenone,low blood pressure
propafenone,bleeding
propafenone,headache
propafenone,weight gain
propafenone,constipation
propafenone,high blood pressure
omeprazole,fatigue
omeprazole,weight loss
omeprazole,heartburn
omeprazole,low blood pressure
omeprazole,diarrhea
omeprazole,tremors
omeprazole,weakness
omeprazole,vomiting
esomeprazole,nausea
esomeprazole,dizziness
esomeprazole,allergic reaction
esomeprazole,diarrhea
esomeprazole,shortness of breath
esomeprazole,muscle pain
esomeprazole,fatigue
esomeprazole,stomach pain
pantoprazole,sweating
pantoprazole,weight gain
pantoprazole,bruising
pantoprazole,headache
pantoprazole,constipation
pantoprazole,diarrhea
pantoprazole,fatigue
pantoprazole,weight loss
lansoprazole,rash
lansoprazole,weakness
lansoprazole,sweating
lansoprazole,allergic reaction
lansoprazole,blurred vision
lansoprazole,cough
lansoprazole,nausea
lansoprazole,bleeding
rabeprazole,weight loss
rabeprazole,cough
rabeprazole,low blood pressure
rabeprazole,tremors
rabeprazole,high blood pressure
rabeprazole,drowsiness
rabeprazole,shortness of breath
rabeprazole,confusion
famotidine,dry mouth
famotidine,high blood pressure
famotidine,weight loss
famotidine,high blood sugar
famotidine,nausea
famotidine,itching
famotidine,muscle pain
famotidine,shortness of breath
cimetidine,cough
cimetidine,constipation
cimetidine,vomiting
cimetidine,rash
cimetidine,dry mouth
cimetidine,bleeding
cimetidine,swelling
cimetidine,shortness of breath
sucralfate,confusion
sucralfate,abdominal pain
sucralfate,sweating
sucralfate,allergic reaction
sucralfate,swelling
sucralfate,itching
sucralfate,insomnia
sucralfate,headache
metoclopramide,low blood sugar
metoclopramide,diarrhea
metoclopramide,swelling
metoclopramide,confusion
metoclopramide,insomnia
metoclopramide,high blood sugar
metoclopramide,rash
metoclopramide,heartburn
ondansetron,nausea
ondansetron,palpitations
ondansetron,high blood sugar
ondansetron,stomach pain
ondansetron,heartburn
ondansetron,dry mouth
ondansetron,high blood pressure
ondansetron,fatigue
promethazine,rash
promethazine,allergic reaction
promethazine,low blood pressure
promethazine,weight gain
promethazine,dizziness
promethazine,weakness
promethazine,bleeding
promethazine,fatigue
prochlorperazine,heartburn
prochlorperazine,low blood sugar
prochlorperazine,insomnia
prochlorperazine,allergic reaction
prochlorperazine,dry mouth
prochlorperazine,itching
prochlorperazine,swelling
prochlorperazine,vomiting
loperamide,fatigue
loperamide,blurred vision
loperamide,constipation
loperamide,itching
loperamide,nausea
loperamide,cough
loperamide,stomach pain
loperamide,low blood sugar
bisacodyl,constipation
bisacodyl,weight loss
bisacodyl,insomnia
bisacodyl,blurred vision
bisacodyl,allergic reaction
bisacodyl,bleeding
bisacodyl,muscle pain
bisacodyl,drowsiness
docusate,headache
docusate,abdominal pain
docusate,drowsiness
docusate,swelling
docusate,heartburn
docusate,weight gain
docusate,shortness of breath
docusate,sweating
polyethylene glycol,low blood pressure
polyethylene glycol,diarrhea
polyethylene glycol,cough
polyethylene glycol,weakness
polyethylene glycol,confusion
polyethylene glycol,insomnia
polyethylene glycol,drowsiness
polyethylene glycol,allergic reaction
senna,drowsiness
senna,heartburn
senna,nausea
senna,abdominal pain
senna,dizziness
senna,diarrhea
senna,insomnia
senna,itching
lactulose,headache
lactulose,itching
lactulose,weakness
lactulose,muscle pain
lactulose,high blood sugar
lactulose,confusion
lactulose,fatigue
lactulose,low blood pressure
magnesium hydroxide,bruising
magnesium hydroxide,abdominal pain
magnesium hydroxide,constipation
magnesium hydroxide,high blood pressure
magnesium hydroxide,heartburn
magnesium hydroxide,insomnia
magnesium hydroxide,tremors
magnesium hydroxide,allergic reaction
amoxicillin,rash
amoxicillin,shortness of breath
amoxicillin,joint pain
amoxicillin,high blood pressure
amoxicillin,nausea
amoxicillin,weight gain
amoxicillin,itching
amoxicillin,headache
ampicillin,blurred vision
ampicillin,diarrhea
ampicillin,weakness
ampicillin,weight gain
ampicillin,allergic reaction
ampicillin,low blood sugar
ampicillin,weight loss
ampicillin,vomiting
penicillin,sweating
penicillin,rash
penicillin,stomach pain
penicillin,swelling
penicillin,insomnia
penicillin,dizziness
penicillin,drowsiness
penicillin,cough
cephalexin,diarrhea
cephalexin,sweating
cephalexin,shortness of breath
cephalexin,tremors
cephalexin,fatigue
cephalexin,nausea
cephalexin,joint pain
cephalexin,weakness
cefazolin,stomach pain
cefazolin,vomiting
cefazolin,allergic reaction
cefazolin,heartburn
cefazolin,dry mouth
cefazolin,muscle pain
cefazolin,high blood sugar
cefazolin,weakness
cefuroxime,weakness
cefuroxime,sweating
cefuroxime,bruising
cefuroxime,low blood sugar
cefuroxime,stomach pain
cefuroxime,low blood pressure
cefuroxime,dry mouth
cefuroxime,abdominal pain
cefixime,nausea
cefixime,cough
cefixime,fatigue
cefixime,dry mouth
cefixime,drowsiness
cefixime,bruising
cefixime,high blood pressure
cefixime,allergic reaction
ceftriaxone,joint pain
ceftriaxone,abdominal pain
ceftriaxone,high blood sugar
ceftriaxone,rash
ceftriaxone,low blood sugar
ceftriaxone,weakness
ceftriaxone,weight gain
ceftriaxone,headache
ceftazidime,confusion
ceftazidime,stomach pain
ceftazidime,diarrhea
ceftazidime,high blood pressure
ceftazidime,tremors
ceftazidime,low blood sugar
ceftazidime,drowsiness
ceftazidime,abdominal pain
cefepime,bruising
cefepime,heartburn
cefepime,stomach pain
cefepime,sweating
cefepime,cough
cefepime,diarrhea
cefepime,weight gain
cefepime,constipation
azithromycin,confusion
azithromycin,low blood sugar
azithromycin,bleeding
azithromycin,insomnia
azithromycin,headache
azithromycin,stomach pain
azithromycin,itching
azithromycin,allergic reaction
clarithromycin,dry mouth
clarithromycin,headache
clarithromycin,palpitations
clarithromycin,high blood sugar
clarithromycin,dizziness
clarithromycin,low blood sugar
clarithromycin,high blood pressure
clarithromycin,insomnia
erythromycin,sweating
erythromycin,weight loss
erythromycin,rash
erythromycin,bleeding
erythromycin,headache
erythromycin,abdominal pain
erythromycin,high blood pressure
erythromycin,low blood sugar
doxycycline,fatigue
doxycycline,palpitations
doxycycline,rash
doxycycline,shortness of breath
doxycycline,diarrhea
doxycycline,high blood sugar
doxycycline,dizziness
doxycycline,headache
minocycline,high blood sugar
minocycline,weight gain
minocycline,allergic reaction
minocycline,heartburn
minocycline,shortness of breath
minocycline,weight loss
minocycline,vomiting
minocycline,constipation
tetracycline,nausea
tetracycline,high blood pressure
tetracycline,allergic reaction
tetracycline,bleeding
tetracycline,low blood pressure
tetracycline,insomnia
tetracycline,vomiting
tetracycline,fatigue
ciprofloxacin,allergic reaction
ciprofloxacin,headache
ciprofloxacin,constipation
ciprofloxacin,rash
ciprofloxacin,cough
ciprofloxacin,confusion
ciprofloxacin,palpitations
ciprofloxacin,heartburn
levofloxacin,stomach pain
levofloxacin,joint pain
levofloxacin,high blood sugar
levofloxacin,insomnia
levofloxacin,allergic reaction
levofloxacin,cough
levofloxacin,dizziness
levofloxacin,weakness
moxifloxacin,nausea
moxifloxacin,heartburn
moxifloxacin,muscle pain
moxifloxacin,itching
moxifloxacin,vomiting
moxifloxacin,insomnia
moxifloxacin,drowsiness
moxifloxacin,stomach pain
trimethoprim,diarrhea
trimethoprim,itching
trimethoprim,sweating
trimethoprim,weight loss
trimethoprim,cough
trimethoprim,joint pain
trimethoprim,shortness of breath
trimethoprim,heartburn
sulfamethoxazole,nausea
sulfamethoxazole,shortness of breath
sulfamethoxazole,confusion
sulfamethoxazole,joint pain
sulfamethoxazole,abdominal pain
sulfamethoxazole,cough
sulfamethoxazole,fatigue
sulfamethoxazole,diarrhea
clindamycin,itching
clindamycin,diarrhea
clindamycin,low blood sugar
clindamycin,high blood pressure
clindamycin,weight gain
clindamycin,weight loss
clindamycin,constipation
clindamycin,blurred vision
vancomycin,blurred vision
vancomycin,fatigue
vancomycin,abdominal pain
vancomycin,drowsiness
vancomycin,rash
vancomycin,muscle pain
vancomycin,dizziness
vancomycin,itching
linezolid,palpitations
linezolid,cough
linezolid,confusion
linezolid,constipation
linezolid,fatigue
linezolid,joint pain
linezolid,weight loss
linezolid,insomnia
metronidazole,confusion
metronidazole,weight loss
metronidazole,vomiting
metronidazole,joint pain
metronidazole,shortness of breath
